WOSID,DATE,TITLE,LASTNAME,FIRSTNAME,JOURNAL,EMAILADDRESS,PUBLISHER,SUBJECT,WC,AUTHOR_KEYWORDS,INSTITUTE,CO-AUTHORS
WOS:A1982MZ50200026,1982,Genetics Of Murine Resistance To Trypanosoma-Cruzi,TRISCHMANN,TM,INFECTION AND IMMUNITY,[],AMER SOC MICROBIOLOGY,"[u'IMMUNOLOGY', u'INFECTIOUS DISEASES']","[u'IMMUNOLOGY', u'INFECTIOUS DISEASES']",[],,"[(u'BLOOM', u'BR')]"
WOS:A1982MZ50200026,1982,Genetics Of Murine Resistance To Trypanosoma-Cruzi,BLOOM,BR,INFECTION AND IMMUNITY,[],AMER SOC MICROBIOLOGY,"[u'IMMUNOLOGY', u'INFECTIOUS DISEASES']","[u'IMMUNOLOGY', u'INFECTIOUS DISEASES']",[],,"[(u'TRISCHMANN', u'TM')]"
WOS:A1984TU54900007,1984,Single Locus In Bxh-2 Mice Responsible For Inability To Control Early Proliferation Of Trypanosoma-Cruzi,TRISCHMANN,TM,INFECTION AND IMMUNITY,[],AMER SOC MICROBIOLOGY,"[u'IMMUNOLOGY', u'INFECTIOUS DISEASES']","[u'IMMUNOLOGY', u'INFECTIOUS DISEASES']",[],,[]
WOS:A1974U596100019,1974,Primary Structure Of Ch3 Homology Region From Guinea-Pig Igg2 Antibodies,TRISCHMATM,,BIOCHEMISTRY,[],AMER CHEMICAL SOC,[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[],"JOHNS HOPKINS UNIV,DEPT BIOL,BALTIMORE,MD 21218.","[(u'CEBRA', u'JJ')]"
WOS:A1974U596100019,1974,Primary Structure Of Ch3 Homology Region From Guinea-Pig Igg2 Antibodies,CEBRA,JJ,BIOCHEMISTRY,[],AMER CHEMICAL SOC,[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[],"JOHNS HOPKINS UNIV,DEPT BIOL,BALTIMORE,MD 21218.","[(u'TRISCHMATM', '')]"
WOS:A1991FL39600018,1991,Selection Of Normal Human Hematopoietic Stem-Cells For Bone-Marrow Transplantation Using Immunomagnetic Microspheres And Cd34 Antibody,CIVIN,CI,AMERICAN JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,[],LIPPINCOTT-RAVEN PUBL,"[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ACUTE LYMPHOBLASTIC-LEUKEMIA', u'MONOCLONAL-ANTIBODY', u'PROGENITOR CELLS', u'ANTIGENIC ANALYSIS', u'4-HYDROPEROXYCYCLOPHOSPHAMIDE', u'DIFFERENTIATION', u'ELIMINATION', u'COMPLEMENT', u'EXPRESSION', u'PRECURSORS']","JOHNS HOPKINS UNIV HOSP,CTR ONCOL,DIV HEMAPHERESIS,BALTIMORE,MD 21205.","[(u'WILEY', u'JM'), (u'TRISCHMANN', u'TM'), (u'STRAUSS', u'LC'), (u'ROWLEY', u'SD')]"
WOS:A1991FL39600018,1991,Selection Of Normal Human Hematopoietic Stem-Cells For Bone-Marrow Transplantation Using Immunomagnetic Microspheres And Cd34 Antibody,WILEY,JM,AMERICAN JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,[],LIPPINCOTT-RAVEN PUBL,"[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ACUTE LYMPHOBLASTIC-LEUKEMIA', u'MONOCLONAL-ANTIBODY', u'PROGENITOR CELLS', u'ANTIGENIC ANALYSIS', u'4-HYDROPEROXYCYCLOPHOSPHAMIDE', u'DIFFERENTIATION', u'ELIMINATION', u'COMPLEMENT', u'EXPRESSION', u'PRECURSORS']","JOHNS HOPKINS UNIV HOSP,CTR ONCOL,DIV HEMAPHERESIS,BALTIMORE,MD 21205.","[(u'ROWLEY', u'SD'), (u'TRISCHMANN', u'TM'), (u'STRAUSS', u'LC'), (u'CIVIN', u'CI')]"
WOS:A1991FL39600018,1991,Selection Of Normal Human Hematopoietic Stem-Cells For Bone-Marrow Transplantation Using Immunomagnetic Microspheres And Cd34 Antibody,TRISCHMANN,TM,AMERICAN JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,[],LIPPINCOTT-RAVEN PUBL,"[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ACUTE LYMPHOBLASTIC-LEUKEMIA', u'MONOCLONAL-ANTIBODY', u'PROGENITOR CELLS', u'ANTIGENIC ANALYSIS', u'4-HYDROPEROXYCYCLOPHOSPHAMIDE', u'DIFFERENTIATION', u'ELIMINATION', u'COMPLEMENT', u'EXPRESSION', u'PRECURSORS']","JOHNS HOPKINS UNIV HOSP,CTR ONCOL,DIV HEMAPHERESIS,BALTIMORE,MD 21205.","[(u'WILEY', u'JM'), (u'ROWLEY', u'SD'), (u'STRAUSS', u'LC'), (u'CIVIN', u'CI')]"
WOS:A1991FL39600018,1991,Selection Of Normal Human Hematopoietic Stem-Cells For Bone-Marrow Transplantation Using Immunomagnetic Microspheres And Cd34 Antibody,STRAUSS,LC,AMERICAN JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,[],LIPPINCOTT-RAVEN PUBL,"[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ACUTE LYMPHOBLASTIC-LEUKEMIA', u'MONOCLONAL-ANTIBODY', u'PROGENITOR CELLS', u'ANTIGENIC ANALYSIS', u'4-HYDROPEROXYCYCLOPHOSPHAMIDE', u'DIFFERENTIATION', u'ELIMINATION', u'COMPLEMENT', u'EXPRESSION', u'PRECURSORS']","JOHNS HOPKINS UNIV HOSP,CTR ONCOL,DIV HEMAPHERESIS,BALTIMORE,MD 21205.","[(u'WILEY', u'JM'), (u'TRISCHMANN', u'TM'), (u'ROWLEY', u'SD'), (u'CIVIN', u'CI')]"
WOS:A1991FL39600018,1991,Selection Of Normal Human Hematopoietic Stem-Cells For Bone-Marrow Transplantation Using Immunomagnetic Microspheres And Cd34 Antibody,ROWLEY,SD,AMERICAN JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,[],LIPPINCOTT-RAVEN PUBL,"[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ONCOLOGY', u'HEMATOLOGY', u'PEDIATRICS']","[u'ACUTE LYMPHOBLASTIC-LEUKEMIA', u'MONOCLONAL-ANTIBODY', u'PROGENITOR CELLS', u'ANTIGENIC ANALYSIS', u'4-HYDROPEROXYCYCLOPHOSPHAMIDE', u'DIFFERENTIATION', u'ELIMINATION', u'COMPLEMENT', u'EXPRESSION', u'PRECURSORS']","JOHNS HOPKINS UNIV HOSP,CTR ONCOL,DIV HEMAPHERESIS,BALTIMORE,MD 21205.","[(u'WILEY', u'JM'), (u'TRISCHMANN', u'TM'), (u'STRAUSS', u'LC'), (u'CIVIN', u'CI')]"
