WOSID,DATE,TITLE,LASTNAME,FIRSTNAME,JOURNAL,EMAILADDRESS,PUBLISHER,SUBJECT,WC,AUTHOR_KEYWORDS,INSTITUTE,CO-AUTHORS
WOS:A1974V199000002,1974,Intercellular Bridges In Somatic-Cells - Cytoplasmic Continuity Of Blastoderm Cells Of Loligo-Pealei,ARNOLD,JM,DIFFERENTIATION,[],SPRINGER VERLAG,"[u'CELL BIOLOGY', u'DEVELOPMENTAL BIOLOGY']","[u'CELL BIOLOGY', u'DEVELOPMENTAL BIOLOGY']",[],"UNIV HAWAII,PACIFIC BIOMED RES CTR,KEWALO MARINE LAB,41 AHUI ST,HONOLULU,HI 96813.",[]
WOS:A1970F920000932,1970,"Study Of Alpha, He-6 Reactions On S-D Shell Nuclei",ARNOLD,JM,BULLETIN OF THE AMERICAN PHYSICAL SOCIETY,[],AMER INST PHYSICS,[u'PHYSICS'],"[u'PHYSICS, MULTIDISCIPLINARY']",[],,"[(u'BERCAW', u'RW')]"
WOS:A1970F920000932,1970,"Study Of Alpha, He-6 Reactions On S-D Shell Nuclei",BERCAW,RW,BULLETIN OF THE AMERICAN PHYSICAL SOCIETY,[],AMER INST PHYSICS,[u'PHYSICS'],"[u'PHYSICS, MULTIDISCIPLINARY']",[],,"[(u'ARNOLD', u'JM')]"
WOS:A1974T272400082,1974,Lipid-Composition Of Cultured Mouse Melanoma Cells,ARNOLD,JM,PROCEEDINGS OF THE AUSTRALIAN BIOCHEMICAL SOCIETY,[],PROC AUST BIOCHEMICAL SOC,[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[],"UNIV SYDNEY,DEPT BIOCHEM,SYDNEY,NEW S WALES,AUSTRALIA.","[(u'BERMINGHMA', '')]"
WOS:A1974T272400082,1974,Lipid-Composition Of Cultured Mouse Melanoma Cells,BERMINGHMA,,PROCEEDINGS OF THE AUSTRALIAN BIOCHEMICAL SOCIETY,[],PROC AUST BIOCHEMICAL SOC,[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[u'BIOCHEMISTRY & MOLECULAR BIOLOGY'],[],"UNIV SYDNEY,DEPT BIOCHEM,SYDNEY,NEW S WALES,AUSTRALIA.","[(u'ARNOLD', u'JM')]"
WOS:A1975AF71500001,1975,Effect Of Calcium In Cytokinesis As Demonstrated With Ionophore A23187,ARNOLD,JM,CYTOBIOLOGIE,[],WISSENSCHAFTLICHE VERLAG MBH,[u'CELL BIOLOGY'],[u'CELL BIOLOGY'],[],"[u'UNIV HAWAII,HONOLULU,HI 96822.', u'MARINE BIOL LAB,WOODS HOLE,MA 02543.', u'PACIFIC BIOMED RES CTR,KEWALO MAR LAB,41 AHUI ST,HONOLULU,HI 96813.']",[]
WOS:A1970H793600037,1970,"Effects Of Cytochalasin-B On Cytoplasmic Movement, Cleavage, And Subsequent Development Of Squid Embryo, Loligo-Pealei",ARNOLD,JM,BIOLOGICAL BULLETIN,[],MARINE BIOLOGICAL LABORATORY,"[u'LIFE SCIENCES & BIOMEDICINE - OTHER TOPICS', u'MARINE & FRESHWATER BIOLOGY']","[u'BIOLOGY', u'MARINE & FRESHWATER BIOLOGY']",[],,"[(u'WILLIAMSLD', '')]"
WOS:A1970H793600037,1970,"Effects Of Cytochalasin-B On Cytoplasmic Movement, Cleavage, And Subsequent Development Of Squid Embryo, Loligo-Pealei",WILLIAMSLD,,BIOLOGICAL BULLETIN,[],MARINE BIOLOGICAL LABORATORY,"[u'LIFE SCIENCES & BIOMEDICINE - OTHER TOPICS', u'MARINE & FRESHWATER BIOLOGY']","[u'BIOLOGY', u'MARINE & FRESHWATER BIOLOGY']",[],,"[(u'ARNOLD', u'JM')]"
WOS:A1968C235300237,1968,Some Behavioral Aspects Of Hole Boring By Octopus,ARNOLD,KO,AMERICAN ZOOLOGIST,[],AMER SOC ZOOLOGISTS,[u'ZOOLOGY'],[u'ZOOLOGY'],[],,"[(u'ARNOLD', u'JM')]"
WOS:A1968C235300237,1968,Some Behavioral Aspects Of Hole Boring By Octopus,ARNOLD,JM,AMERICAN ZOOLOGIST,[],AMER SOC ZOOLOGISTS,[u'ZOOLOGY'],[u'ZOOLOGY'],[],,"[(u'ARNOLD', u'KO')]"
